"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,20,"n=100, p=20","block","quantile_4","A_entry",0.00856243754190324,0.00411365513444096,0.0130112199493655,-0.00270440673715471,-0.00582629871366005,0.00041748523935062,0.011266844279058,FALSE,"positive","includes_zero",FALSE
100,20,"n=100, p=20","block","quantile_4","A_set_s",-0.00555555555555555,-0.0154963203821332,0.00438520927102212,-0.00555555555555555,-0.015002118993818,0.00389100788270687,0,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","quantile_4","A_set_2s",0.012020202020202,-0.00105566501374158,0.0250960690541456,0.0125252525252525,-0.000402699505128333,0.0254532045556334,0.000505050505050505,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","quantile_4","F1",-0.20740404040404,-0.246977996681034,-0.167830084127047,-0.207646464646465,-0.247505376751774,-0.167787552541155,0.000242424242424238,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","block","quantile_4","RMSE",0.3973380958755,0.342470961965123,0.452205229785877,0.397102794875317,0.34213925244637,0.452066337304264,0.000235301000182653,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","block","quantile_8","A_entry",0.00962841858258316,0.00541058733405292,0.0138462498311134,-0.00184893727991848,-0.00474008621525832,0.00104221165542137,0.0114773558625016,FALSE,"positive","includes_zero",FALSE
100,20,"n=100, p=20","block","quantile_8","A_set_s",-0.00476190476190476,-0.0123116483507883,0.00278783882697874,-0.00365079365079365,-0.0102074299824073,0.00290584268081996,0.00111111111111111,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","quantile_8","A_set_2s",0.0173737373737374,0.00522751260460852,0.0295199621428662,0.0172727272727273,0.00498644607158316,0.0295590084738714,0.000101010101010102,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","block","quantile_8","F1",-0.266585858585859,-0.305828756794045,-0.227342960377672,-0.266585858585859,-0.30587231683335,-0.227299400338367,0,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","block","quantile_8","RMSE",0.627979494129974,0.569694626909497,0.686264361350451,0.627720153364082,0.56933103195903,0.686109274769134,0.000259340765892402,TRUE,"positive","positive",TRUE
100,20,"n=100, p=20","block","equal_width_4","A_entry",0.00303050563171176,-0.00209826850794715,0.00815927977137067,-0.00777238467059409,-0.0113746087901434,-0.00417016055104474,0.0108028903023059,FALSE,"includes_zero","negative",FALSE
100,20,"n=100, p=20","block","equal_width_4","A_set_s",-0.000317460317460315,-0.00932542149129374,0.0086905008563731,-0.000317460317460315,-0.00877690001315428,0.00814197937823365,0,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","equal_width_4","A_set_2s",-0.00635392385392385,-0.0240483637068306,0.0113405159989829,-0.00722222222222222,-0.0246479295356681,0.0102034850912236,0.000868298368298371,TRUE,"includes_zero","includes_zero",TRUE
100,20,"n=100, p=20","block","equal_width_4","F1",-0.285131313131313,-0.324181933420921,-0.246080692841705,-0.285191919191919,-0.324220797658356,-0.246163040725482,6.06060606060388e-05,TRUE,"negative","negative",TRUE
100,20,"n=100, p=20","block","equal_width_4","RMSE",0.601531174964262,0.536528575281311,0.666533774647213,0.601128439335652,0.536074344488547,0.666182534182757,0.00040273562861004,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","independent","quantile_2","A_entry",-0.0137678348996042,-0.0188088494766613,-0.00872682032254714,-0.0139366124603697,-0.0190804837179049,-0.00879274120283458,0.00016877756076555,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_2","A_set_s",-0.0073970473970474,-0.0141163182658978,-0.000677776528196969,-0.00595959595959596,-0.0116092516717328,-0.000309940247459123,0.00143745143745144,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_2","A_set_2s",-0.00300897170462388,-0.00790872818672686,0.0018907847774791,-0.000981240981240981,-0.00557751460036241,0.00361503263788045,0.0020277307233829,TRUE,"includes_zero","includes_zero",TRUE
